iata,icao,state
AMS,EHAM,Amsterdam
\N,EHBD,Amsterdam
MST,EHBK,Amsterdam
\N,EHDL,Amsterdam
\N,EHDR,Amsterdam
EIN,EHEH,Amsterdam
GRQ,EHGG,Amsterdam
GLZ,EHGR,Amsterdam
DHR,EHKD,Amsterdam
LEY,EHLE,Amsterdam
LWR,EHLW,Amsterdam
RTM,EHRD,Amsterdam
UTC,EHSB,Amsterdam
ENS,EHTW,Amsterdam
LID,EHVB,Amsterdam
WOE,EHWO,Amsterdam
ORK,EICK,Dublin
GWY,EICM,Dublin
DUB,EIDW,Dublin
NOC,EIKN,Dublin
KIR,EIKY,Dublin
\N,EIME,Dublin
SNN,EINN,Dublin
SXL,EISG,Dublin
WAT,EIWF,Dublin
AAR,EKAH,Copenhagen
BLL,EKBI,Copenhagen
CPH,EKCH,Copenhagen
EBJ,EKEB,Copenhagen
\N,EKGH,Copenhagen
KRP,EKKA,Copenhagen
BYR,EKLS,Copenhagen
MRW,EKMB,Copenhagen
ODE,EKOD,Copenhagen
\N,EKPB,Copenhagen
RKE,EKRK,Copenhagen
RNN,EKRN,Copenhagen
SGD,EKSB,Copenhagen
SKS,EKSP,Copenhagen
SQW,EKSV,Copenhagen
TED,EKTS,Copenhagen
\N,EKVD,Copenhagen
FAE,EKVG,Faeroe
\N,EKVH,Copenhagen
STA,EKVJ,Copenhagen
AAL,EKYT,Copenhagen
LUX,ELLX,Luxembourg
AES,ENAL,Oslo
ANX,ENAN,Oslo
ALF,ENAT,Oslo
\N,ENBM,Oslo
BNN,ENBN,Oslo
BOO,ENBO,Oslo
BGO,ENBR,Oslo
BJF,ENBS,Oslo
KRS,ENCN,Oslo
DLD,ENDI,Oslo
BDU,ENDU,Oslo
EVE,ENEV,Oslo
VDB,ENFG,Oslo
FRO,ENFL,Oslo
OSL,ENGM,Oslo
HAU,ENHD,Oslo
HAA,ENHK,Oslo
KSU,ENKB,Oslo
\N,ENKJ,Oslo
KKN,ENKR,Oslo
FAN,ENLI,Oslo
MOL,ENML,Oslo
MJF,ENMS,Oslo
LKL,ENNA,Oslo
NTB,ENNO,Oslo
OLA,ENOL,Oslo
RRS,ENRO,Oslo
RYG,ENRY,Oslo
LYR,ENSB,Longyearbyen
SKE,ENSN,Oslo
SRP,ENSO,Oslo
SSJ,ENST,Oslo
TOS,ENTC,Oslo
TRF,ENTO,Oslo
TRD,ENVA,Oslo
SVG,ENZV,Oslo
\N,EPBC,Warsaw
GDN,EPGD,Warsaw
KRK,EPKK,Warsaw
\N,EPKM,Warsaw
KTW,EPKT,Warsaw
\N,EPML,Warsaw
POZ,EPPO,Warsaw
RZE,EPRZ,Warsaw
SZZ,EPSC,Warsaw
OSP,EPSK,Warsaw
\N,EPSN,Warsaw
WAW,EPWA,Warsaw
WRO,EPWR,Warsaw
IEG,EPZG,Warsaw
\N,ESCF,Stockholm
\N,ESCK,Stockholm
\N,ESCM,Stockholm
RNB,ESDF,Stockholm
\N,ESFR,Stockholm
GOT,ESGG,Stockholm
JKG,ESGJ,Stockholm
\N,ESGK,Stockholm
LDK,ESGL,Stockholm
GSE,ESGP,Stockholm
KVB,ESGR,Stockholm
THN,ESGT,Stockholm
\N,ESIA,Stockholm
\N,ESIB,Stockholm
\N,ESKB,Stockholm
KSK,ESKK,Stockholm
MXX,ESKM,Stockholm
NYO,ESKN,Stockholm
\N,ESKV,Stockholm
\N,ESMA,Stockholm
\N,ESMG,Stockholm
KID,ESMK,Stockholm
\N,ESML,Stockholm
OSK,ESMO,Stockholm
\N,ESMP,Stockholm
KLR,ESMQ,Stockholm
MMX,ESMS,Stockholm
HAD,ESMT,Stockholm
\N,ESMV,Stockholm
VXO,ESMX,Stockholm
\N,ESNA,Stockholm
\N,ESNC,Stockholm
EVG,ESND,Stockholm
GEV,ESNG,Stockholm
HUV,ESNH,Stockholm
\N,ESNJ,Stockholm
KRF,ESNK,Stockholm
LYC,ESNL,Stockholm
\N,ESNM,Stockholm
SDL,ESNN,Stockholm
OER,ESNO,Stockholm
\N,ESNP,Stockholm
KRN,ESNQ,Stockholm
\N,ESNR,Stockholm
SFT,ESNS,Stockholm
\N,ESNT,Stockholm
UME,ESNU,Stockholm
VHM,ESNV,Stockholm
AJR,ESNX,Stockholm
ORB,ESOE,Stockholm
VST,ESOW,Stockholm
LLA,ESPA,Stockholm
\N,ESPE,Stockholm
\N,ESQO,Stockholm
ARN,ESSA,Stockholm
BMA,ESSB,Stockholm
BLE,ESSD,Stockholm
HLF,ESSF,Stockholm
GVX,ESSK,Stockholm
LPI,ESSL,Stockholm
NRK,ESSP,Stockholm
EKT,ESSU,Stockholm
VBY,ESSV,Stockholm
\N,ESUK,Stockholm
SPM,ETAD,Berlin
RMS,ETAR,Berlin
GHF,ETEU,Berlin
\N,ETHB,Berlin
ZCN,ETHC,Berlin
\N,ETHE,Berlin
FRZ,ETHF,Berlin
\N,ETHL,Berlin
\N,ETHM,Berlin
\N,ETHN,Berlin
\N,ETHR,Berlin
\N,ETHS,Berlin
\N,ETIC,Berlin
ZNF,ETID,Berlin
\N,ETIH,Berlin
KZG,ETIN,Berlin
FCN,ETMN,Berlin
\N,ETND,Berlin
GKE,ETNG,Berlin
\N,ETNH,Berlin
\N,ETNJ,Berlin
RLG,ETNL,Berlin
\N,ETNN,Berlin
WBG,ETNS,Berlin
\N,ETNT,Berlin
\N,ETNW,Berlin
\N,ETOI,Berlin
\N,ETOR,Berlin
WIE,ETOU,Berlin
\N,ETSA,Berlin
\N,ETSB,Berlin
\N,ETSE,Berlin
FEL,ETSF,Berlin
\N,ETSH,Berlin
IGS,ETSI,Berlin
\N,ETSL,Berlin
\N,ETSN,Berlin
GUT,ETUO,Berlin
ALJ,FAAB,Johannesburg
AGZ,FAAG,Johannesburg
\N,FABB,Johannesburg
BIY,FABE,Johannesburg
BFN,FABL,Johannesburg
\N,FABM,Johannesburg
\N,FABO,Johannesburg
CPT,FACT,Johannesburg
\N,FACV,Johannesburg
DUR,FALE,Johannesburg
ELS,FAEL,Johannesburg
\N,FAEO,Johannesburg
FCB,FAFB,Johannesburg
GCJ,FAGC,Johannesburg
GRJ,FAGG,Johannesburg
\N,FAGR,Johannesburg
\N,FAGT,Johannesburg
\N,FAGY,Johannesburg
\N,FAHA,Johannesburg
HRS,FAHR,Johannesburg
HDS,FAHS,Johannesburg
